fechaHora,fechaHora,ultimoPrecio
2020-01-08 17:00:39.737,2020-01-08T17:00:39.737,57.0
2020-01-07 17:00:53.093,2020-01-07T17:00:53.093,57.0
2020-01-06 17:00:48.313,2020-01-06T17:00:48.313,54.5
2020-01-03 17:00:39.423,2020-01-03T17:00:39.423,55.0
2020-01-02 17:00:39.883,2020-01-02T17:00:39.883,57.0
2019-12-30 17:00:46.110,2019-12-30T17:00:46.11,55.0
2019-12-27 17:00:39.417,2019-12-27T17:00:39.417,52.0
2019-12-26 17:00:44.667,2019-12-26T17:00:44.667,50.1
2019-12-23 17:00:41.777,2019-12-23T17:00:41.777,45.0
2019-12-20 17:00:39.887,2019-12-20T17:00:39.887,44.8
2019-12-19 17:00:35.323,2019-12-19T17:00:35.323,44.8
2019-12-18 17:00:48.847,2019-12-18T17:00:48.847,44.8
2019-12-17 17:00:41.437,2019-12-17T17:00:41.437,44.0
2019-12-16 17:00:48.703,2019-12-16T17:00:48.703,45.0
2019-12-13 03:00:07.303,2019-12-13T03:00:07.303,44.9
2019-12-12 03:00:00.797,2019-12-12T03:00:00.797,44.9
2019-12-11 17:00:47.200,2019-12-11T17:00:47.2,44.9
2019-12-10 17:00:45.107,2019-12-10T17:00:45.107,43.9
2019-12-09 17:00:46.180,2019-12-09T17:00:46.18,43.9
2019-12-06 17:00:46.507,2019-12-06T17:00:46.507,43.05
2019-12-05 17:00:43.763,2019-12-05T17:00:43.763,42.0
2019-12-04 17:00:37.967,2019-12-04T17:00:37.967,40.0
2019-12-03 17:00:36.530,2019-12-03T17:00:36.53,39.9
2019-12-02 17:00:37.440,2019-12-02T17:00:37.44,39.85
2019-11-29 17:00:46.317,2019-11-29T17:00:46.317,39.85
2019-11-28 17:00:44.490,2019-11-28T17:00:44.49,38.6
2019-11-27 17:00:43.880,2019-11-27T17:00:43.88,38.5
2019-11-26 12:00:18.343,2019-11-26T12:00:18.343,38.0
2019-11-25 17:00:36.727,2019-11-25T17:00:36.727,39.9
2019-11-22 17:00:36.697,2019-11-22T17:00:36.697,40.0
2019-11-21 17:00:41.440,2019-11-21T17:00:41.44,39.0
2019-11-20 17:00:36.980,2019-11-20T17:00:36.98,39.5
2019-11-19 17:00:36.853,2019-11-19T17:00:36.853,39.0
2019-11-15 17:00:38.647,2019-11-15T17:00:38.647,39.0
2019-11-14 17:00:39.253,2019-11-14T17:00:39.253,39.45
2019-11-13 17:00:41.593,2019-11-13T17:00:41.593,39.45
2019-11-12 17:00:43.730,2019-11-12T17:00:43.73,39.5
2019-11-11 17:00:41.177,2019-11-11T17:00:41.177,40.0
2019-11-08 12:00:29.227,2019-11-08T12:00:29.227,39.5
2019-11-07 17:00:40.733,2019-11-07T17:00:40.733,39.0
2019-11-06 17:00:37.417,2019-11-06T17:00:37.417,38.5
2019-11-05 17:00:58.473,2019-11-05T17:00:58.473,38.5
2019-11-04 17:01:12.993,2019-11-04T17:01:12.993,38.0
2019-11-01 17:00:38.520,2019-11-01T17:00:38.52,36.0
2019-10-31 17:00:40.357,2019-10-31T17:00:40.357,34.0
2019-10-30 17:00:41.607,2019-10-30T17:00:41.607,33.0
2019-10-29 17:00:43.877,2019-10-29T17:00:43.877,33.0
2019-10-28 17:00:35.023,2019-10-28T17:00:35.023,33.0
2019-10-25 17:00:37.550,2019-10-25T17:00:37.55,33.0
2019-10-24 17:00:36.590,2019-10-24T17:00:36.59,32.0
2019-10-23 17:00:39.917,2019-10-23T17:00:39.917,30.0
2019-10-22 17:00:38.487,2019-10-22T17:00:38.487,30.0
2019-10-21 17:00:33.737,2019-10-21T17:00:33.737,31.0
2019-10-18 17:00:39.193,2019-10-18T17:00:39.193,32.0
2019-10-16 17:00:38.330,2019-10-16T17:00:38.33,32.0
2019-10-15 17:00:43.677,2019-10-15T17:00:43.677,32.0
2019-10-11 17:00:42.793,2019-10-11T17:00:42.793,33.0
2019-10-10 17:00:37.397,2019-10-10T17:00:37.397,33.0
2019-10-09 17:00:37.433,2019-10-09T17:00:37.433,32.5
2019-10-08 17:00:37.830,2019-10-08T17:00:37.83,33.0
